"age","hepatitis_A_positive","total"
1,3,16
2,3,15
3,3,16
4,4,13
5,7,12
6,4,15
7,3,12
8,4,11
9,7,10
10,8,15
11,2,7
12,3,7
13,2,11
14,0,1
15,5,16
16,13,41
17,1,2
18,3,6
19,15,32
20,22,37
21,15,24
22,7,10
23,8,10
24,7,11
25,12,15
26,5,10
27,10,13
28,15,19
29,9,12
30,9,9
31,9,14
32,8,10
33,9,11
34,8,9
35,9,14
36,13,14
37,6,7
38,15,16
39,11,13
40,6,8
41,8,8
42,13,14
43,7,10
44,5,5
45,7,7
46,9,9
47,9,9
48,22,22
49,6,7
50,10,10
51,6,6
52,13,14
53,8,8
54,7,7
55,13,13
56,11,11
57,8,8
58,8,8
59,9,10
60,13,16
61,5,5
62,5,6
63,5,5
64,5,5
65,10,10
66,8,8
67,4,4
68,5,5
69,4,5
70,8,8
71,0,0
72,9,9
73,1,1
74,4,4
75,7,7
76,6,6
77,2,2
78,3,3
79,2,2
80,4,4
81,1,1
82,1,1
83,2,2
84,0,0
85,0,0
86,1,1
